CV Accuracy, Train Accuracy, Test Accuracy
0.969637681159 , 1.0 , 0.9
0.951299081036 , 1.0 , 0.94
0.955026737968 , 1.0 , 0.9
0.946920634921 , 1.0 , 1.0
0.945334244703 , 1.0 , 0.94
0.954920634921 , 1.0 , 0.9
0.926180226442 , 1.0 , 0.96
0.930729028453 , 1.0 , 0.9
0.936363636364 , 1.0 , 0.94
0.946682539683 , 1.0 , 0.98
0.933704545455 , 1.0 , 0.94
0.931204967633 , 1.0 , 1.0
0.956785714286 , 1.0 , 0.92
0.943641456583 , 1.0 , 0.92
0.960154420141 , 1.0 , 0.9
0.921364080685 , 1.0 , 0.94
0.919493310846 , 1.0 , 0.94
0.955837320574 , 1.0 , 0.94
0.966752652382 , 1.0 , 0.94
0.949782377066 , 1.0 , 0.92
0.940615368613 , 1.0 , 0.98
0.938924517175 , 1.0 , 0.92
0.932449874687 , 1.0 , 0.96
0.938809456797 , 1.0 , 0.98
0.930182875667 , 1.0 , 0.94
0.945612405374 , 1.0 , 0.98
0.937177318296 , 1.0 , 0.94
0.957751741013 , 1.0 , 0.92
0.935535543404 , 1.0 , 0.98
0.931249766573 , 1.0 , 0.94
0.952115251898 , 1.0 , 0.98
0.945 , 1.0 , 0.98
0.945289640438 , 1.0 , 0.98
0.951305916306 , 1.0 , 0.94
0.943280706222 , 1.0 , 0.96
0.964306722689 , 1.0 , 0.88
0.940215665977 , 1.0 , 0.96
0.927086539491 , 1.0 , 0.98
0.955127448638 , 1.0 , 0.96
0.928657289003 , 1.0 , 0.98
0.934702950558 , 1.0 , 0.94
0.945524573466 , 1.0 , 0.96
0.960954545455 , 1.0 , 0.96
0.944363658507 , 1.0 , 0.92
0.960178632857 , 1.0 , 0.96
0.941384282511 , 1.0 , 0.98
0.954448621554 , 1.0 , 0.96
0.940641731139 , 1.0 , 1.0
0.949623077301 , 1.0 , 0.94
0.96597041847 , 1.0 , 0.96
